albertsons stadium,
kinesiology annex,
extramile arena,
bookstore,
student union building,
hemingway center,
liberal arts building,
albertsons library,
admin building,
riverfront hall,
mathematics building,
campus schoolhouse,
simplot micron advising and success hub,
interactive learning center,
multipurpose building,
education building,
science building,
morrison center,
micron business and economics building,
center for the visual arts,
